table_height,count
145.500 ,9
144.500 ,6
162.500 ,6
167.000 ,6
159.000 ,6
149.000 ,6
165.000 ,6
135.000 ,6
147.500 ,6
152.500 ,5
167.500 ,3
144.000 ,3
175.000 ,3
183.500 ,3
168.000 ,3
136.500 ,3
193.500 ,3
142.500 ,3
158.500 ,3
143.000 ,3
156.000 ,3
154.500 ,3
166.500 ,3
150.000 ,3
175.500 ,3
156.500 ,3
182.500 ,3
149.500 ,3
165.500 ,3
154.000 ,3
155.500 ,3
145.000 ,3
157.000 ,3
162.000 ,3
